[2017-03-13T16:42:07.064Z, 1025.0]
[2017-03-13T16:42:08.064Z, 1026.0]
[2017-03-13T16:42:09.068Z, 1023.0]
[2017-03-13T16:42:10.068Z, 1026.0]
[2017-03-13T16:42:11.067Z, 1026.0]
[2017-03-13T16:42:12.067Z, 1027.0]
[2017-03-13T16:42:13.066Z, 1027.0]
[2017-03-13T16:42:14.07Z, 1028.0]
[2017-03-13T16:42:15.071Z, 1025.0]
[2017-03-13T16:42:16.069Z, 1025.0]
[2017-03-13T16:42:17.069Z, 1026.0]
[2017-03-13T16:42:18.068Z, 1027.0]
[2017-03-13T16:42:19.076Z, 1027.0]
[2017-03-13T16:42:20.077Z, 1026.0]
[2017-03-13T16:42:21.076Z, 1027.0]
[2017-03-13T16:42:22.076Z, 1028.0]
[2017-03-13T16:42:23.074Z, 1026.0]
[2017-03-13T16:42:24.074Z, 1025.0]
[2017-03-13T16:42:25.079Z, 1036.0]
[2017-03-13T16:42:26.078Z, 1030.0]
[2017-03-13T16:42:27.078Z, 1025.0]
[2017-03-13T16:42:28.077Z, 1026.0]
[2017-03-13T16:42:29.077Z, 1024.0]
[2017-03-13T16:42:30.081Z, 1026.0]
[2017-03-13T16:42:31.079Z, 1025.0]
[2017-03-13T16:42:32.079Z, 1026.0]
[2017-03-13T16:42:33.083Z, 1025.0]
[2017-03-13T16:42:34.083Z, 1026.0]
[2017-03-13T16:42:35.083Z, 1025.0]
[2017-03-13T16:42:36.082Z, 1026.0]
[2017-03-13T16:42:37.082Z, 1025.0]
[2017-03-13T16:42:38.081Z, 1026.0]
[2017-03-13T16:42:39.088Z, 1027.0]
[2017-03-13T16:42:40.088Z, 1026.0]
[2017-03-13T16:42:41.087Z, 1025.0]
[2017-03-13T16:42:42.087Z, 1026.0]
[2017-03-13T16:42:43.087Z, 1026.0]
[2017-03-13T16:42:44.087Z, 1025.0]
[2017-03-13T16:42:45.087Z, 1024.0]
[2017-03-13T16:42:46.09Z, 1024.0]
[2017-03-13T16:42:47.09Z, 1024.0]
[2017-03-13T16:42:48.089Z, 1025.0]
[2017-03-13T16:42:49.089Z, 1026.0]
[2017-03-13T16:42:50.094Z, 1026.0]
[2017-03-13T16:42:51.092Z, 1026.0]
[2017-03-13T16:42:52.093Z, 1026.0]
[2017-03-13T16:42:53.092Z, 1027.0]
[2017-03-13T16:42:54.092Z, 1028.0]
[2017-03-13T16:42:55.093Z, 1027.0]
[2017-03-13T16:42:56.095Z, 1027.0]
[2017-03-13T16:42:57.095Z, 1026.0]
[2017-03-13T16:42:58.095Z, 1027.0]
[2017-03-13T16:42:59.095Z, 1026.0]
[2017-03-13T16:43:00.097Z, 1026.0]
[2017-03-13T16:43:01.098Z, 1026.0]
[2017-03-13T16:43:02.098Z, 1027.0]
[2017-03-13T16:43:03.097Z, 1026.0]
[2017-03-13T16:43:04.097Z, 1029.0]
[2017-03-13T16:43:05.103Z, 1024.0]
[2017-03-13T16:43:06.101Z, 1025.0]
[2017-03-13T16:43:07.102Z, 1027.0]
[2017-03-13T16:43:08.1Z, 1025.0]
[2017-03-13T16:43:09.1Z, 1025.0]
[2017-03-13T16:43:10.104Z, 1025.0]
[2017-03-13T16:43:11.103Z, 1024.0]
[2017-03-13T16:43:12.103Z, 1025.0]
[2017-03-13T16:43:13.102Z, 1026.0]
[2017-03-13T16:43:14.107Z, 1027.0]
[2017-03-13T16:43:15.107Z, 1025.0]
[2017-03-13T16:43:16.106Z, 1026.0]
