[2017-03-13T16:43:45.128Z, 43.0]
[2017-03-13T16:43:46.128Z, 43.0]
[2017-03-13T16:43:47.128Z, 43.0]
[2017-03-13T16:43:48.128Z, 43.0]
[2017-03-13T16:43:49.128Z, 44.0]
[2017-03-13T16:43:50.129Z, 43.0]
[2017-03-13T16:43:51.133Z, 43.0]
[2017-03-13T16:43:52.133Z, 43.0]
[2017-03-13T16:43:53.133Z, 43.0]
[2017-03-13T16:43:54.134Z, 43.0]
[2017-03-13T16:43:55.134Z, 43.0]
[2017-03-13T16:43:56.133Z, 43.0]
[2017-03-13T16:43:57.133Z, 43.0]
[2017-03-13T16:43:58.141Z, 43.0]
[2017-03-13T16:43:59.14Z, 43.0]
[2017-03-13T16:44:00.14Z, 43.0]
[2017-03-13T16:44:01.14Z, 43.0]
[2017-03-13T16:44:02.14Z, 43.0]
[2017-03-13T16:44:03.14Z, 43.0]
[2017-03-13T16:44:04.141Z, 43.0]
[2017-03-13T16:44:05.146Z, 43.0]
[2017-03-13T16:44:06.145Z, 43.0]
[2017-03-13T16:44:07.145Z, 43.0]
[2017-03-13T16:44:08.144Z, 43.0]
[2017-03-13T16:44:09.15Z, 43.0]
[2017-03-13T16:44:10.157Z, 43.0]
[2017-03-13T16:44:11.156Z, 43.0]
[2017-03-13T16:44:12.156Z, 43.0]
[2017-03-13T16:44:13.156Z, 43.0]
[2017-03-13T16:44:14.156Z, 43.0]
[2017-03-13T16:44:15.156Z, 43.0]
[2017-03-13T16:44:16.155Z, 43.0]
[2017-03-13T16:44:17.159Z, 43.0]
[2017-03-13T16:44:18.159Z, 43.0]
[2017-03-13T16:44:19.159Z, 43.0]
[2017-03-13T16:44:20.159Z, 43.0]
[2017-03-13T16:44:21.163Z, 43.0]
[2017-03-13T16:44:22.163Z, 43.0]
[2017-03-13T16:44:23.163Z, 43.0]
[2017-03-13T16:44:24.164Z, 43.0]
[2017-03-13T16:44:25.164Z, 43.0]
[2017-03-13T16:44:26.164Z, 43.0]
[2017-03-13T16:44:27.171Z, 43.0]
[2017-03-13T16:44:28.172Z, 43.0]
[2017-03-13T16:44:29.172Z, 43.0]
[2017-03-13T16:44:30.171Z, 43.0]
[2017-03-13T16:44:31.171Z, 43.0]
[2017-03-13T16:44:32.171Z, 43.0]
[2017-03-13T16:44:33.17Z, 43.0]
[2017-03-13T16:44:34.171Z, 43.0]
[2017-03-13T16:44:35.171Z, 43.0]
[2017-03-13T16:44:36.171Z, 43.0]
[2017-03-13T16:44:37.175Z, 43.0]
[2017-03-13T16:44:38.175Z, 43.0]
[2017-03-13T16:44:39.176Z, 43.0]
[2017-03-13T16:44:40.176Z, 43.0]
[2017-03-13T16:44:41.176Z, 43.0]
[2017-03-13T16:44:42.176Z, 43.0]
[2017-03-13T16:44:43.177Z, 43.0]
[2017-03-13T16:44:44.182Z, 43.0]
[2017-03-13T16:44:45.181Z, 43.0]
[2017-03-13T16:44:46.18Z, 43.0]
[2017-03-13T16:44:47.18Z, 43.0]
[2017-03-13T16:44:48.181Z, 43.0]
[2017-03-13T16:44:49.182Z, 43.0]
[2017-03-13T16:44:50.184Z, 43.0]
[2017-03-13T16:44:51.183Z, 43.0]
[2017-03-13T16:44:52.185Z, 43.0]
[2017-03-13T16:44:53.187Z, 43.0]
[2017-03-13T16:44:54.186Z, 43.0]
[2017-03-13T16:44:55.191Z, 43.0]
[2017-03-13T16:44:56.191Z, 42.0]
[2017-03-13T16:44:57.191Z, 43.0]
[2017-03-13T16:44:58.192Z, 43.0]
[2017-03-13T16:44:59.192Z, 43.0]
[2017-03-13T16:45:00.192Z, 43.0]
[2017-03-13T16:45:01.191Z, 43.0]
[2017-03-13T16:45:02.196Z, 43.0]
[2017-03-13T16:45:03.196Z, 42.0]
[2017-03-13T16:45:04.196Z, 43.0]
[2017-03-13T16:45:05.196Z, 43.0]
[2017-03-13T16:45:06.195Z, 43.0]
[2017-03-13T16:45:07.203Z, 43.0]
[2017-03-13T16:45:08.203Z, 43.0]
[2017-03-13T16:45:09.203Z, 43.0]
[2017-03-13T16:45:10.204Z, 43.0]
[2017-03-13T16:45:11.204Z, 43.0]
[2017-03-13T16:45:12.203Z, 43.0]
[2017-03-13T16:45:13.203Z, 44.0]
[2017-03-13T16:45:14.203Z, 43.0]
[2017-03-13T16:45:15.204Z, 43.0]
[2017-03-13T16:45:16.203Z, 43.0]
[2017-03-13T16:45:17.206Z, 43.0]
[2017-03-13T16:45:18.207Z, 43.0]
[2017-03-13T16:45:19.206Z, 43.0]
[2017-03-13T16:45:20.211Z, 43.0]
[2017-03-13T16:45:21.21Z, 43.0]
[2017-03-13T16:45:22.209Z, 43.0]
[2017-03-13T16:45:23.21Z, 43.0]
[2017-03-13T16:45:24.217Z, 43.0]
[2017-03-13T16:45:25.215Z, 43.0]
[2017-03-13T16:45:26.215Z, 43.0]
[2017-03-13T16:45:27.213Z, 43.0]
[2017-03-13T16:45:28.214Z, 43.0]
[2017-03-13T16:45:29.214Z, 43.0]
[2017-03-13T16:45:30.219Z, 43.0]
[2017-03-13T16:45:31.218Z, 43.0]
[2017-03-13T16:45:32.219Z, 43.0]
[2017-03-13T16:45:33.218Z, 42.0]
[2017-03-13T16:45:34.223Z, 42.0]
[2017-03-13T16:45:35.223Z, 43.0]
[2017-03-13T16:45:36.222Z, 43.0]
[2017-03-13T16:45:37.221Z, 43.0]
[2017-03-13T16:45:38.222Z, 43.0]
[2017-03-13T16:45:39.226Z, 43.0]
[2017-03-13T16:45:40.225Z, 43.0]
[2017-03-13T16:45:41.224Z, 43.0]
[2017-03-13T16:45:42.229Z, 43.0]
[2017-03-13T16:45:43.228Z, 43.0]
[2017-03-13T16:45:44.227Z, 43.0]
[2017-03-13T16:45:45.227Z, 43.0]
[2017-03-13T16:45:46.228Z, 43.0]
[2017-03-13T16:45:47.228Z, 43.0]
[2017-03-13T16:45:48.229Z, 43.0]
[2017-03-13T16:45:49.234Z, 43.0]
[2017-03-13T16:45:50.234Z, 43.0]
[2017-03-13T16:45:51.233Z, 43.0]
[2017-03-13T16:45:52.234Z, 43.0]
[2017-03-13T16:45:53.234Z, 43.0]
[2017-03-13T16:45:54.234Z, 43.0]
[2017-03-13T16:45:55.239Z, 43.0]
[2017-03-13T16:45:56.238Z, 43.0]
[2017-03-13T16:45:57.238Z, 43.0]
[2017-03-13T16:45:58.238Z, 42.0]
[2017-03-13T16:45:59.243Z, 42.0]
[2017-03-13T16:46:00.244Z, 42.0]
[2017-03-13T16:46:01.244Z, 42.0]
[2017-03-13T16:46:02.247Z, 43.0]
[2017-03-13T16:46:03.247Z, 43.0]
[2017-03-13T16:46:04.246Z, 42.0]
[2017-03-13T16:46:05.246Z, 43.0]
[2017-03-13T16:46:06.243Z, 43.0]
[2017-03-13T16:46:07.249Z, 43.0]
[2017-03-13T16:46:08.249Z, 42.0]
[2017-03-13T16:46:09.248Z, 43.0]
[2017-03-13T16:46:10.247Z, 43.0]
[2017-03-13T16:46:11.247Z, 43.0]
[2017-03-13T16:46:12.252Z, 43.0]
[2017-03-13T16:46:13.258Z, 42.0]
[2017-03-13T16:46:14.251Z, 43.0]
[2017-03-13T16:46:15.251Z, 43.0]
[2017-03-13T16:46:16.254Z, 43.0]
[2017-03-13T16:46:17.26Z, 42.0]
[2017-03-13T16:46:18.254Z, 43.0]
[2017-03-13T16:46:19.254Z, 42.0]
[2017-03-13T16:46:20.258Z, 42.0]
[2017-03-13T16:46:21.259Z, 43.0]
[2017-03-13T16:46:22.258Z, 43.0]
[2017-03-13T16:46:23.258Z, 43.0]
[2017-03-13T16:46:24.257Z, 43.0]
[2017-03-13T16:46:25.259Z, 43.0]
[2017-03-13T16:46:26.259Z, 42.0]
[2017-03-13T16:46:27.264Z, 42.0]
[2017-03-13T16:46:28.263Z, 43.0]
[2017-03-13T16:46:29.268Z, 43.0]
[2017-03-13T16:46:30.263Z, 43.0]
[2017-03-13T16:46:31.267Z, 43.0]
[2017-03-13T16:46:32.267Z, 43.0]
[2017-03-13T16:46:33.267Z, 43.0]
[2017-03-13T16:46:34.267Z, 43.0]
[2017-03-13T16:46:35.267Z, 42.0]
[2017-03-13T16:46:36.279Z, 43.0]
[2017-03-13T16:46:37.284Z, 43.0]
[2017-03-13T16:46:38.284Z, 42.0]
[2017-03-13T16:46:39.283Z, 43.0]
[2017-03-13T16:46:40.284Z, 42.0]
[2017-03-13T16:46:41.283Z, 43.0]
[2017-03-13T16:46:42.288Z, 43.0]
[2017-03-13T16:46:43.288Z, 43.0]
