name,time,M1_CURRENT_FEEDRATE,S1.ActualAcceleration,S1.ActualPosition,S1.ActualVelocity,S1.CommandAcceleration,S1.CommandPosition,S1.CommandVelocity,S1.CurrentCommand,S1.CurrentFeedback,S1.CurrentReference,S1.DCBusVoltage,S1.LoadObserverTorqueEstimate,S1.OutputCurrent,S1.OutputPower,S1.OutputVoltage,S1.SystemInertia,S1.TorqueLowPassFilterBandwidthEstimate,S1.TorqueReference,X1.ActualAcceleration,X1.ActualPosition,X1.ActualVelocity,X1.CommandAcceleration,X1.CommandPosition,X1.CommandVelocity,X1.CurrentCommand,X1.CurrentFeedback,X1.CurrentReference,X1.DCBusVoltage,X1.LoadObserverTorqueEstimate,X1.OutputCurrent,X1.OutputPower,X1.OutputVoltage,X1.TorqueLowPassFilterBandwidthEstimate,X1.TorqueReference,Y1.ActualAcceleration,Y1.ActualPosition,Y1.ActualVelocity,Y1.CommandAcceleration,Y1.CommandPosition,Y1.CommandVelocity,Y1.CurrentCommand,Y1.CurrentFeedback,Y1.CurrentReference,Y1.DCBusVoltage,Y1.LoadObserverTorqueEstimate,Y1.OutputCurrent,Y1.OutputPower,Y1.OutputVoltage,Y1.TorqueLowPassFilterBandwidthEstimate,Y1.TorqueReference,Z1.ActualAcceleration,Z1.ActualPosition,Z1.ActualVelocity,Z1.CommandAcceleration,Z1.CommandPosition,Z1.CommandVelocity,Z1.CurrentCommand,Z1.CurrentFeedback,Z1.CurrentReference,Z1.DCBusVoltage,Z1.LoadObserverTorqueEstimate,Z1.OutputCurrent,Z1.OutputPower,Z1.OutputVoltage,Z1.TorqueLowPassFilterBandwidthEstimate,Z1.TorqueReference
Timestamp,2017-07-25T20:33:02.399Z,50,-11.875,-1995.252,23.3045,0,-1995.058,23.33333,0,17.92555,0,322.6941,0,0.7394633,0.06263733,57.20498,0.4636263,0,0,-6.25,145.2973,14.925,0,145.4178,15.01125,0,8.007489,0,324.2232,0,0.1193103,0.003644546,26.65961,0,0,-43.75,111.0628,-20.15,9.536742e-05,110.9025,-19.99156,0,-6.507537,0,322.7892,0,0.1628559,0.006880104,33.91606,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Timestamp,2017-07-25T20:33:02.499Z,50,-3.0625,-1992.919,23.27225,0,-1992.724,23.33333,0,21.39633,0,322.3165,0,0.8834793,0.07367017,56.83191,0.4636263,0,0,-31.25,146.7993,15.05,-9.536742e-05,146.9189,15.01125,0,3.630217,0,324.001,0,0.1057568,0.003387314,26.33419,0,0,62.49999,109.0633,-19.975,-0.0001907348,108.9033,-19.99156,0,-8.133177,0,322.5256,0,0.1375532,0.005608501,33.79696,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Timestamp,2017-07-25T20:33:02.897Z,50,-3.125,-1983.678,23.351,0,-1983.484,23.33333,0,15.44643,0,320.0442,0,0.6481211,0.05499753,58.46747,0.4636263,0,0,893.7499,152.554,39.675,-807.4853,152.8711,37.8891,0,17.72494,0,320.2813,0,0.3257674,0.02888188,64.39087,0,0,-443.75,102.1399,-23.25,452.924,101.8668,-20.74348,0,-8.651289,0,321.8745,0,0.1855711,0.009446873,38.20648,0,0,31.25,0.9941,-0.05,13.61809,0.9943168,0.1474583,0,0,0,0,0,0,0,0,0,0
Timestamp,2017-07-25T20:33:02.999Z,50,16.3125,-1981.251,23.41275,0,-1981.058,23.33333,0,12.97198,0,322.9821,0,0.5711073,0.04753844,56.64845,0.4636263,0,0,-281.25,154.3554,22.8,1.795578,154.5426,23.11024,0,9.266273,0,324.0862,0,0.1406248,0.006681075,38.51997,0,0,87.49999,101.7879,9.875,-4.135322,101.8665,9.532313,0,7.065104,0,323.0921,0,0.1360022,0.00295768,20.41857,0,0,12.5,0.9889,-0.45,8.356952,0.9851572,-0.2274406,0,0,0,0,0,0,0,0,0,0
Timestamp,2017-07-25T20:33:03.199Z,50,-12.25,-1976.585,23.29675,0,-1976.391,23.33333,0,20.49029,0,322.7372,0,0.7071812,0.05899515,55.72777,0.4636263,0,0,12.5,157.5274,15.05,-9.536742e-05,157.6489,15.12352,0,6.059225,0,324.1405,0,0.1272152,0.00406245,26.11281,0,0,-62.49999,103.8906,19.8,0,104.0498,19.90676,0,6.218634,0,323.0092,0,0.1338815,0.005552981,33.42839,0,0,0,1.0003,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Timestamp,2017-07-25T20:33:03.401Z,50,-10.5625,-1971.919,23.25825,0,-1971.724,23.33333,0,21.85767,0,322.3691,0,0.8846758,0.07425322,56.6451,0.4636263,0,0,18.75,160.5529,15.2,9.536742e-05,160.6736,15.12352,0,3.855803,0,324.4477,0,0.1002838,0.003222979,26.94153,0,0,50,107.8716,20.075,9.536742e-05,108.0311,19.90676,0,6.419652,0,322.8332,0,0.1486383,0.006209115,33.286,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Timestamp,2017-07-25T20:33:03.71Z,50,9.999999,-1964.732,23.3985,0,-1964.538,23.33333,0,13.37275,0,322.8527,0,0.6505324,0.05487265,55.67905,0.4636263,0,0,43.75,164.7682,15.275,0,164.8891,15.12447,0,6.774663,0,323.7257,0,0.1085626,0.003449546,26.60566,0,0,68.74999,113.4201,20.075,0.0001907348,113.5795,19.90604,0,8.244213,0,322.4563,0,0.1267974,0.005271546,32.01384,0,0,-6.25,1.0001,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Timestamp,2017-07-25T20:33:04.011Z,50,-0.1875,-1957.732,23.3545,0,-1957.538,23.33333,0,14.94638,0,322.8891,0,0.6752668,0.05718295,56.48573,0.4636263,0,0,25,169.7091,24.925,0,169.9096,25,0,9.401703,0,324.2489,0,0.1553881,0.008156249,39.0126,0,0,-6.25,116.6499,-0.025,0,116.6501,0,0,-0.585676,0,323.3477,0,0.02159364,0,2.823313,0,0,6.25,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Timestamp,2017-07-25T20:33:04.211Z,50,4.8125,-1952.972,23.302,0,-1952.778,23.33333,0,16.73104,0,320.1604,0,0.8386456,0.07087881,58.72028,0.4636263,0,0,-31.25,174.8095,24.975,0,175.0096,25,0,7.948466,0,323.7852,0,0.1439984,0.007638956,38.8749,0,0,18.75,116.6501,0.05,0,116.6501,0,0,-1.194844,0,323.0888,0,0.03463539,1.249573e-05,4.283991,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Timestamp,2017-07-25T20:33:04.31Z,50,9.124999,-1950.638,23.37525,0,-1950.444,23.33333,0,12.89448,0,320.7261,0,0.7386698,0.06195845,55.47117,0.4636263,0,0,-50,177.3077,24.6,0,177.5096,25,0,10.55477,0,323.5953,0,0.1953184,0.01013219,39.17749,0,0,6.25,116.6501,0.025,0,116.6501,0,0,-0.6081958,0,323.2577,0,0.03003353,3.945896e-06,2.543021,0,0,-6.25,1,-0.025,0,1,0,0,0,0,0,0,0,0,0,0,0
